OE,RF,Descripción,Módulo Backend,Módulo Frontend,Resultado Prueba Piloto,Estado
OE1,RF-01,"Registro de donantes en 3 categorías (formalizado, informal, independiente) con RNC/cédula, correo, contraseña cifrada, dirección y coordenadas","routers/autenticacion.py → POST /api/auth/registro; Modelos: Usuario, PerfilLegal, DireccionSede, ConsentimientoDato","Registro.jsx (asistente 2 pasos + Google Maps Places Autocomplete)","100% aprobado. Script probar_registro_rol.py: registro donante formal 201; RNC inválido → 422. Google Maps integrado con 6 decimales",COMPLETO
OE1,RF-02,"Registro de organizaciones receptoras (RNC, registro Procuraduría, capacidad, población atendida)","Mismo endpoint con campos dinámicos por rol (capacidad_diaria_kg, poblacion_atendida)","Registro.jsx Paso 2 dinámico según rol","Verificado. Perfil legal del receptor creado en transacción multi-tabla",COMPLETO
OE1,RF-03,"Registro de bancos de alimentos (sedes, almacenamiento refrigerado, horarios)","Campos tiene_cadena_frio, horario_atencion","Registro.jsx Paso 2 toggle cadena de frío solo para banco","Verificado. Registro banco con capacidad 150.5 kg, cadena de frío=true, POINT(-69.9312 18.4861)",COMPLETO
OE1,RF-04,"Autenticación segura con JWT + bcrypt (coste ≥ 12)","utils/seguridad.py (bcrypt coste 12, JWT); servicio_autenticacion.py; POST /api/auth/login","Login.jsx con pantalla dividida","27/27 tests pasan: TestBcrypt 5/5, TestJWT 5/5",COMPLETO
OE1,RF-05,"Recuperación de contraseña por correo (enlace válido 15 min)","Token SHA-256; endpoints /recuperar-password y /restablecer-password","RecuperarPassword.jsx + RestablecerPassword.jsx","Verificado: recuperar 200, restablecer 200, reutilizar token → 400",COMPLETO
OE1,RF-06,Verificación de cuenta por correo antes de operar,"JWT de verificación 24h; endpoint GET /verificar-correo",VerificarCorreo.jsx,"Verificado: verificar 200 + email_verificado=True, token inválido → 400",COMPLETO
OE1,RF-07,"Edición de perfil (contacto, dirección, geolocalización)","PUT /api/auth/perfil","Perfil.jsx + MapaVista.jsx","Verificado: editar perfil 200, datos actualizados",COMPLETO
OE1,RF-08,"Desactivación lógica de cuenta (conserva historial, Ley 11-92)","POST /api/auth/desactivar (baja lógica)","Perfil.jsx botón Desactivar cuenta","Verificado: desactivar 200, login tras baja → 403",COMPLETO
OE1,RF-30,Bloqueo por 5 intentos fallidos en 10 min,"servicio_autenticacion.esta_bloqueado() con contador en BD","Login.jsx mensaje de bloqueo","Verificado: 401×5 + 423 (bloqueo)",COMPLETO
OE1,RF-31,"Consentimiento de datos (Ley 172-13) antes de guardar","Modelo ConsentimientoDato; escritura en registro","Registro.jsx checkbox obligatorio paso 2","Verificado: consentimiento registrado (tratamiento_datos_172_13, True)",COMPLETO
OE2,RF-09,"Registro de lote (producto, categoría, cantidad, unidad, vencimiento, lote fabricante, almacenamiento)","routers/inventario.py → POST /api/inventario/lotes; Modelos: Producto, LoteInventario, CategoriaAlimento, CategoriaPerecibilidad","Inventario.jsx con formulario en línea","Verificado: registro de lotes con distintas fechas de vencimiento",COMPLETO
OE2,RF-10,"Clasificación automática de perecibilidad (no perecedero, semi-perecedero, perecedero, congelado)","Heredada del producto → CategoriaPerecibilidad; 4 categorías con ventanas RN-05","Inventario.jsx selector de categoría","Verificado. 4 categorías sembradas en BD con ventanas parametrizables",COMPLETO
OE2,RF-11,"Cálculo de ventana vencimiento−hoy y validación de umbral mínimo","servicio_inventario.calcular_ventana()","Inventario.jsx badge de ventana en tabla FEFO","4/4 tests pasan: básico, vencido (negativa), mañana, año",COMPLETO
OE2,RF-12,Ordenamiento FEFO ascendente por fecha de vencimiento,"servicio_inventario.listar_lotes() ordena por fecha_vencimiento ASC","Inventario.jsx tabla ordenada","Verificado: orden FEFO [2, 10, 25] días ascendente",COMPLETO
OE2,RF-13,"Alertas de vencimiento (≤ 3 días) en plataforma y correo","GET /api/inventario/alertas + servicio_alertas.py (correo simulado)","Inventario.jsx banner ámbar con animación de pulso","PARCIAL. Alertas plataforma funcional. Correo simulado (pendiente SMTP)",PARCIAL
OE2,RF-14,"Rechazo automático si ventana ≤ 0","servicio_inventario.registrar_lote() → HTTP 422","Inventario.jsx mensaje de error en UI","Verificado: intento de registrar lote vencido → 422",COMPLETO
OE2,RF-15,"Ajuste manual de inventario (solo banco) con motivo obligatorio","POST /api/inventario/lotes/{id}/ajuste (restringido a rol banco)","Inventario.jsx panel de historial + formulario de ajuste","Verificado: ajuste banco 200 (20→15 kg) con merma; no-banco → 403",COMPLETO
OE2,RF-16,"Histórico inmutable de movimientos (bitácora)","Modelo HistorialEstadoLote; GET /api/inventario/lotes/{id}/historial","Inventario.jsx panel de detalle con timeline","Verificado: historial con 2 movimientos (creación + ajuste)",COMPLETO
OE3,RF-17,"Búsqueda PostGIS (radio configurable) + Google Maps Distance Matrix","servicio_emparejamiento.buscar_candidatos() con ST_DWithin/ST_Distance + servicio_mapas.py (Haversine)","Emparejamientos.jsx con selector de lote + radio","5/5 tests mapas pasan. Receptor lejano (~155 km) excluido de radio 25 km",COMPLETO
OE3,RF-18,"Justificación narrativa asistida por Gemini (temp 0.0, sin alterar determinista)","servicio_ia.py (simulado, determinista); Modelo IaEjecucion","Emparejamientos.jsx texto IA en tarjeta","Verificado: justificación IA presente en cada emparejamiento",COMPLETO
OE3,RF-19,"Confirmación manual del emparejamiento (validación humana)","POST /api/emparejamientos/{id}/confirmar","Emparejamientos.jsx botón Confirmar","Verificado: confirmar 200, lote reservado, notificaciones generadas",COMPLETO
OE3,RF-20,"Reasignación si receptor rechaza o no retira (límite 48h)","POST /api/emparejamientos/{id}/rechazar libera lote","Emparejamientos.jsx botón Rechazar","Verificado: rechazar 200, lote disponible para nuevo emparejamiento",COMPLETO
OE3,RF-21,Notificación a donante y receptor al confirmar,"POST /api/notificaciones + GET /api/notificaciones","CampanaNotificaciones.jsx (badge + dropdown) + Notificaciones.jsx","COMPLETO (Fase 8). Campanita con badge, notificación generada al confirmar",COMPLETO
OE3,RF-22,"Retroalimentación (calificación 1–5 y comentario)","POST /api/emparejamientos/{id}/retroalimentacion; Modelo Retroalimentacion","Emparejamientos.jsx input calificación con estrellas","Verificado: retroalimentación 201 con calificación y comentario",COMPLETO
OE4,RF-23,"Reporte de donaciones por período (filtros: fecha, donante, categoría, estado)","routers/reporte.py → GET /api/reportes/donaciones","Reportes.jsx pestaña Donaciones con filtros + tabla + totales","3/3 tests pasan. 6 lotes, 300 kg, filtros funcionales",COMPLETO
