Categoría,Concepto,Descripción,Cantidad,Costo Unitario (DOP),Costo Total (DOP),Costo Total (USD),Observaciones
RECURSOS HUMANOS,Desarrollador Full-Stack Senior,"Desarrollo backend (FastAPI) + frontend (React). 8 fases, ~6 meses",1,85000/mes,510000,8800,"Incluye arquitectura, modelos, API REST, interfaces"
RECURSOS HUMANOS,Desarrollador Frontend Junior,"Maquetación UI, componentes React, estilos Tailwind, responsive. ~4 meses",1,45000/mes,180000,3100,"Incluye Google Maps Places Autocomplete"
RECURSOS HUMANOS,Administrador de Base de Datos,"Diseño esquema PostgreSQL + PostGIS, optimización consultas geoespaciales, migraciones. ~2 meses",1,70000/mes,140000,2400,"22 tablas + índices espaciales + funciones ST_DWithin"
RECURSOS HUMANOS,QA / Tester,"Pruebas unitarias (pytest), integración, seguridad (OWASP ZAP), accesibilidad (WCAG). ~2 meses",1,55000/mes,110000,1900,"27 tests automatizados actuales; meta ≥80% cobertura"
RECURSOS HUMANOS,Gestor de Proyecto,"Coordinación, documentación, reuniones con BARD. ~6 meses (medio tiempo)",1,40000/mes,240000,4100,Documentación bilingüe ES+ZH
SUBTOTAL RECURSOS HUMANOS,,,,,1180000,20300,
INFRAESTRUCTURA,Servidor Cloud (producción),"AWS EC2 t3.medium / DigitalOcean Droplet 4GB RAM, 80GB SSD. Pago mensual x12 meses",12,4500/mes,54000,930,"Alternativa: VPS local dominicano"
INFRAESTRUCTURA,Base de Datos Cloud,"AWS RDS PostgreSQL + PostGIS / DigitalOcean Managed Database. 2GB RAM, 60GB. x12 meses",12,6000/mes,72000,1240,Incluye respaldos diarios cifrados
INFRAESTRUCTURA,Dominio y SSL,"Dominio .com.do + certificado SSL (Let's Encrypt gratis). Anual",1,3500/año,3500,60,"Ej: donacionesalimentosrd.com.do"
INFRAESTRUCTURA,CDN y Almacenamiento,"Cloudflare CDN + AWS S3 para evidencia fotográfica (10GB). Anual",1,2500/año,2500,43,
SUBTOTAL INFRAESTRUCTURA,,,,,132000,2273,
SERVICIOS EXTERNOS,Google Maps API,"Places Autocomplete + Maps JavaScript + Distance Matrix. ~5,000 solicitudes/mes x12 meses",12,3500/mes,42000,720,"Crédito gratuito Google Cloud: $200/mes cubre primeros meses"
SERVICIOS EXTERNOS,Gemini IA API,"Normalización semántica + justificación narrativa. ~2,000 solicitudes/mes x12 meses",12,2000/mes,24000,410,"Modelo Gemini 1.5 Flash; temperatura 0.0"
SERVICIOS EXTERNOS,Google Sheets API,"Exportación de reportes. ~500 solicitudes/mes x12 meses",12,500/mes,6000,100,"Costo bajo; incluido en cuota Google Cloud"
SERVICIOS EXTERNOS,SMTP (Correo Electrónico),"SendGrid / AWS SES. ~10,000 correos/mes (verificación, alertas, notificaciones). x12 meses",12,1500/mes,18000,310,"Capa gratuita: 100 correos/día; plan Essentials ~$20/mes"
SUBTOTAL SERVICIOS EXTERNOS,,,,,90000,1540,
SOFTWARE Y HERRAMIENTAS,GitHub / GitLab,"Repositorio privado + CI/CD (GitHub Actions). Anual",1,0,0,0,"GitHub Free: repos privados ilimitados + 2000 min CI/CD"
SOFTWARE Y HERRAMIENTAS,SonarQube Cloud,"Análisis estático de código, deuda técnica. Anual",1,0,0,0,"SonarCloud plan gratuito para proyectos open source"
SOFTWARE Y HERRAMIENTAS,OWASP ZAP,"Escaneo de seguridad. Open source",1,0,0,0,"Gratuito"
SOFTWARE Y HERRAMIENTAS,Figma,"Diseño UI/UX, prototipado. 1 licencia x6 meses",6,1500/mes,9000,155,"Plan Professional; hay alternativas gratis (Penpot)"
SOFTWARE Y HERRAMIENTAS,JetBrains / VS Code,"IDE desarrollo. VS Code gratuito",1,0,0,0,"Gratuito"
SUBTOTAL SOFTWARE,,,,,9000,155,
CAPACITACIÓN,Capacitación BARD,"Talleres para 4 perfiles: donante, receptor, banco, administrador. 4 sesiones",4,15000/sesión,60000,1030,"Incluye manuales de usuario impresos"
CAPACITACIÓN,Video tutoriales,"Grabación y edición de 6 video-tutoriales cortos (3-5 min c/u)",6,5000/video,30000,520,
SUBTOTAL CAPACITACIÓN,,,,,90000,1550,
MANTENIMIENTO (1er Año),Soporte técnico,"Corrección de bugs, actualizaciones de seguridad, monitoreo. 12 meses",12,20000/mes,240000,4100,"Incluye rotación de claves, parches de seguridad"
MANTENIMIENTO (1er Año),Respaldos y Recuperación,"Configuración pg_dump diario + prueba trimestral de restauración. Anual",1,30000,30000,520,
SUBTOTAL MANTENIMIENTO,,,,,270000,4620,
IMPREVISTOS,Imprevistos (10%),Reserva para sobrecostos no planificados,1,179100,179100,3070,"10% del total sin imprevistos (1,791,000 DOP)"
SUBTOTAL IMPREVISTOS,,,,,179100,3070,
,,TOTAL GENERAL (DOP),,,1970100,,
,,TOTAL GENERAL (USD),,,,33508,
,,TOTAL GENERAL (USD redondeado),,,,33500,
